College,Season,Coach,username,Coach,Role,Race
Air Force,2014,Blane Morgan,blane-morgan,Blane Morgan,Quarterbacks Coach,White
Air Force,2014,Clay Hendrix,clay-hendrix,Clay Hendrix,Offensive Line Coach/Associate Head Coach,White
Air Force,2014,Jake Campbell,jake-campbell,Jake Campbell,Offensive Backs Coach,#N/A
Air Force,2014,Jake Moreland,jake-moreland,Jake Moreland,Tight Ends Coach,Black
Air Force,2014,John Rudzinski,john-rudzinski,John Rudzinski,Defensive Backs Coach/Recruiting Coordinator,White
Air Force,2014,Matt Weikert,matt-weikert,Matt Weikert,Outside Linebackers Coach,#N/A
Air Force,2014,Mike Thiessen,mike-thiessen,Mike Thiessen,Offensive Coordinator/Wide Receivers Coach,White
Air Force,2014,Ron Vanderlinden,ron-vanderlinden,Ron Vanderlinden,Inside Linebackers Coach,#N/A
Air Force,2014,Steve Russ,steve-russ,Steve Russ,Defensive Coordinator/Defensive Backs Coach/Assistant Head Coach,White
Air Force,2014,Tim Cross,tim-cross,Tim Cross,Defensive Line Coach,#N/A
Air Force,2014,Troy Calhoun,troy-calhoun,Troy Calhoun,Head Coach,White
Air Force,2015,Ben Miller,ben-miller,Ben Miller,Running Backs Coach/Special Teams Coordinator,White
Air Force,2015,Clay Hendrix,clay-hendrix,Clay Hendrix,Offensive Line Coach/Associate Head Coach,White
Air Force,2015,Derek Lewis,derek-lewis,Derek Lewis,Wide Receivers Coach,#N/A
Air Force,2015,Jake Campbell,jake-campbell,Jake Campbell,Offensive Backs Coach,#N/A
Air Force,2015,John Rudzinski,john-rudzinski,John Rudzinski,Defensive Backs Coach,White
Air Force,2015,Matt Weikert,matt-weikert,Matt Weikert,Outside Linebackers Coach,#N/A
Air Force,2015,Mike Thiessen,mike-thiessen,Mike Thiessen,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2015,Ron Vanderlinden,ron-vanderlinden,Ron Vanderlinden,Inside Linebackers Coach,#N/A
Air Force,2015,Steed Lobotzke,steed-lobotzke,Steed Lobotzke,Tight Ends Coach,White
