"","Coach","Race"
"618","Dick Bumpas","White"
"619","Bradley Dale Peveto","White"
"620","Ron Harris","White"
"621","Alan Weddell","White"
"622","John Skladany","White"
"623","Brian Stewart","Black"
"624","Jamie Bryant","White"
"625","Craig Naivar","White"
"626","Clay Jennings","Black"
"627","Mark D'Onofrio","White"
"628","Doug Belk","Black"
"629","Mike Cassity","White"
"630","Mike Mallory","White"
"631","Dan Disch","White"
"632","Mike Phair","White"
"633","Hardy Nickerson","Black"
"634","Ryan Walters","Black"
"635","James Bell","Black"
"636","Joe Cullen","White"
"637","Brian George","White"
"638","Joe Palcic","White"
"639","Doug Mallory","White"
"640","Mike Ekeler","White"
"641","Mark Hagen","White"
"642","Kevin Peoples","White"
"643","Charlton Warren","Black"
"644","Norm Parker","White"
"645","Phil Parker","White"
"646","Wayne Bolt","White"
"647","Wally Burnham","White"
"648","Jon Heacock","White"
"649","Ardell Wiegandt","White"
"650","Tom Hayes","White"
"651","Bill Young","White"
"652","Clint Bowen","White"
"653","Buddy Wyatt","Black"
"654","Vic Shealy","White"
"655","Dave Campo","White"
"656","Kenny Perry","White"
"657","Bob Elliott","White"
"658","Raheem Morris","Black"
"659","Tim Tibesar","White"
"660","Chris Cosh","White"
"661","Blake Seiler","White"
"662","Scottie Hazelton","White"
"663","Joe Klanderman","White"
"664","Mike Dietzel","White"
"665","Ben Needham","White"
"666","Jeff Burrow","Black"
"667","Tom Kaufman","White"
"668","Mike Major","White"
"669","John Goodner","White"
"670","Mike Archer","White"
"671","Steve Brown","Black"
"672","Brad White","White"
"673","Jon Sumrall","White"
"674","Robert Wimberly","Black"
"675","Vantz Singletary","Black"
"676","Scott Symons","White"
"677","Tony Tademy","Black"
"678","Brent Pry","White"
"679","Greg Stewart","White"
"680","James Willis","Black"
"681","Melvin Smith","Black"
"682","Mike Lucas","White"
"683","Patrick Toney","White"
"684","Mike Collins","White"
"685","Kim Dameron","White"
"686","Manny Michel","White"
"687","Phil Elmassian","White"
"688","Troy Reffett","White"
"689","Adam Waugh","White"
"690","Scott Stoker","White"
"691","Tom Masella","White"
"692","Randy Bates","White"
"693","George Darlington","White"
"694","Tommy Spangler","White"
"695","Blake Baker","White"
"696","Mike Gillhamer","White"
"697","Kevin Wolthausen","White"
"698","Vance Bedford","Black"
"699","Cort Dennison","White"
"700","Daronte Jones","Black"
"701","Bill Wilt","White"
"702","Jim Collins","White"
"703","Steve Dunlap","White"
"704","Chris Rippon","White"
"705","J.C. Price","White"
"706","Lance Guidry","White"
"707","Wally Ake","White"
"708","Todd Bradford","White"
"709","Keith Dudzinski","White"
"710","Jimmy Brumbaugh","Black"
"711","Brian Williams","Black"
"712","Ed Pinkham","White"
"713","Aazaar Abdul-Rahim","Black"
"714","Tommy Restivo","White"
"715","Rick Whitt","White"
"716","Joe Lee Dunn","White"
"717","Rick Kravitz","White"
"718","Tim Walton","Black"
"719","Kenny Ingram","Black"
"720","Galen Scott","Black"
"721","Ephraim Banda","White"
"722","Jon Wauford","White"
"723","Taver Johnson","Black"
"724","Carl Reese","White"
"725","Matt Pawlowski","White"
"726","John Hauser","White"
"727","Spence Nowinsky","White"
"728","Jim Herrmann","White"
"729","Mike Macdonald","White"
"730","Miles Aldridge","White"
"731","Steve Davis","White"
"732","Randall McCray","White"
"733","Steve Ellis","Black"
"734","Tyrone Nix","Black"
"735","Moe Ankney","White"
"736","David Lockwood","Black"
"737","Ronnie Lee","Black"
"738","Jay Sawvel","White"
"739","Joe Rossi","White"
"740","Joe Harasymiak","White"
"741","Bob Shoop","White"
"742","Zach Arnett","White"
"743","Matt Eberflus","White"
"744","Dave Steckel","White"
"745","DeMontie Cross","Black"
"746","Steve Wilks","Black"
"747","Buddy Green","White"
"748","Dale Pehrson","White"
"749","Brian Newberry","White"
"750","Dave Huxtable","White"
"751","Tony Gibson","White"
"752","John Papuchis","White"
"753","Mark Banker","White"
"754","Erik Chinander","White"
"755","Jeff Mills","White"
"756","Barry Sacks","White"
"757","Dave Fipp","White"
"758","Ken Wilson","White"
"759","Nigel Burton","Black"
"760","Mike Bradeson","White"
"761","Bill Teerlinck","White"
"762","Scott Boone","White"
"763","Osia Lewis","Black"
"764","Jordan Peterson","White"
"765","Ross Els","White"
