"","Coach","team","Race","net_ppa","net_sr","net_stuff","net_pass_sr"
"mean_ppa399","Joe Tresey","Cincinnati","White",-0.0366570389865285,-0.0380618853552995,0.0355908680442354,-0.0443042111198444
"mean_ppa400","Joe Tresey","South Florida","White",-0.0241173832168502,-0.0458309167176595,-0.0132922379058159,-0.049224209996972
"mean_ppa401","Joe Tresey","UCLA","White",-0.076845044431189,-0.0404723389952211,0.0341486660388194,-0.0616727091427966
"mean_ppa402","Joe Tumpkin","Central Michigan","Black",-0.0317792942467843,-0.0093759116390062,-0.00122291932984303,0.00762332432830676
"mean_ppa403","John Butler","Penn State","White",-0.0318537446603119,-0.00289341478292565,-0.035529548335389,-0.0640246370919621
"mean_ppa404","John Chavis","Arkansas","?",-0.021287038027818,-0.000293407445547511,-0.0101645108187366,-0.0110192085571288
"mean_ppa405","John Chavis","LSU","?",-0.0598467428403057,-0.0364723182716069,0.00675908465279448,-0.0322680004507102
"mean_ppa406","John Chavis","Tennessee","?",-0.041194356045883,-0.0521671148587454,0.0906812170228088,-0.0327077747989276
"mean_ppa407","John Chavis","Texas A&M","?",-0.0126504871009601,0.0226526031743356,-0.0512743102365471,0.0245386525940367
"mean_ppa408","John Hauser","Miami (OH)","White",0.0178601671937663,0.0535629014942975,0.0139815187665157,0.0509344553865314
"mean_ppa409","John Jancek","Cincinnati","White",-0.00454206356231779,0.00598918807544679,-0.00314727610946675,-0.00516511100695527
"mean_ppa410","John Jancek","Colorado State","White",-0.0206911549274791,-0.0242035828956239,0.031149136375904,-0.0127837475663563
"mean_ppa411","John Jancek","Georgia","White",-0.0438104751021577,-0.00719859791061167,-0.0233481580654239,0.00387486240261381
"mean_ppa412","John Jancek","Tennessee","White",-0.103636012620896,0.00330576314289127,0.0323887823061885,0.0260991567973812
"mean_ppa413","John Loose","Army","White",-0.0374145723757356,0.0045165419852678,0.0172540138723133,0.0177882181488673
"mean_ppa414","John Lovett","Miami","White",-0.0170769837311839,-0.00342244958690074,0.0243994130291746,-0.00749195459538521
"mean_ppa415","John Papuchis","Nebraska","?",-0.0488480221383889,-0.0267791951300257,-0.00675520524843717,-0.028206808328565
"mean_ppa416","John Papuchis","North Carolina","?",0.0067967786273119,0.038293127659942,-0.0319791644146863,0.0330490284909202
"mean_ppa417","John Pease","Utah","White",0.0261776755804905,-0.00825945331933647,-0.0294758013235012,-0.0195330390862531
"mean_ppa418","John Rudzinski","Air Force","White",0.04056482356557,-0.0233348893052618,0.0559502355201938,-0.0505676175394426
"mean_ppa419","John Skladany","Houston","White",-0.0126434122222645,-0.0638411123068043,0.041784792361705,-0.0846597453697833
"mean_ppa420","John Skladany","UCF","White",0.117789513734926,0.0547270712570704,-0.0349814958993621,0.0531999944041116
