"","College","Coach","Role","Race","year_start","year_end","duration"
"275","Michigan State","Mel Tucker","Head Coach","Black",2020,2021,2
"276","Middle Tennessee","Andy McCollum","Head Coach","White",2000,2005,6
"277","Middle Tennessee","Rick Stockstill","Head Coach","White",2006,2021,16
"278","Minnesota","Glen Mason","Head Coach","White",2000,2006,7
"279","Minnesota","Tim Brewster","Head Coach","White",2007,2010,4
"280","Minnesota","Jerry Kill","Head Coach","White",2011,2015,5
"281","Minnesota","Tracy Claeys","Head Coach","White",2016,2016,1
"282","Minnesota","P.J. Fleck","Head Coach","White",2017,2021,5
"283","Mississippi State","Jackie Sherrill","Head Coach","White",2000,2003,4
"284","Mississippi State","Sylvester Croom","Head Coach","Black",2004,2008,5
"285","Mississippi State","Dan Mullen","Head Coach","White",2009,2017,9
"286","Mississippi State","Joe Moorhead","Head Coach","White",2018,2019,2
"287","Mississippi State","Mike Leach","Head Coach","White",2020,2021,2
"288","Missouri","Larry Smith","Head Coach","White",2000,2000,1
"289","Missouri","Gary Pinkel","Head Coach","White",2001,2015,15
"290","Missouri","Barry Odom","Head Coach","White",2016,2019,4
"291","Missouri","Eliah Drinkwitz","Head Coach","White",2020,2021,2
"292","Navy","Charlie Weatherbie","Head Coach","White",2000,2001,2
"293","Navy","Paul Johnson","Head Coach","White",2002,2007,6
"294","Navy","Ken Niumatalolo","Head Coach","Other",2008,2021,14
"295","NC State","Chuck Amato","Head Coach","White",2000,2006,7
"296","NC State","Tom O'Brien","Head Coach","White",2007,2012,6
"297","NC State","Dave Doeren","Head Coach","White",2013,2021,9
"298","Nebraska","Frank Solich","Head Coach","White",2000,2003,4
"299","Nebraska","Bill Callahan","Head Coach","White",2004,2007,4
"300","Nebraska","Bo Pelini","Head Coach","White",2008,2014,7
"301","Nebraska","Mike Riley","Head Coach","White",2015,2017,3
"302","Nebraska","Scott Frost","Head Coach","White",2018,2021,4
"303","Nevada","Chris Tormey","Head Coach","White",2000,2003,4
"304","Nevada","Chris Ault","Head Coach","White",2004,2012,9
"305","Nevada","Brian Polian","Head Coach","White",2013,2016,4
"306","Nevada","Jay Norvell","Head Coach","Black",2017,2021,5
"307","New Mexico","Rocky Long","Head Coach","White",2000,2008,9
"308","New Mexico","Mike Locksley","Head Coach","Black",2009,2011,3
"309","New Mexico","Bob Davie","Head Coach","White",2012,2019,8
"310","New Mexico","Danny Gonzales","Head Coach","White",2020,2021,2
"311","New Mexico State","Tony Samuel","Head Coach","Black",2000,2004,5
"312","New Mexico State","Hal Mumme","Head Coach","White",2005,2008,4
"313","New Mexico State","DeWayne Walker","Head Coach","Black",2009,2012,4
"314","New Mexico State","Doug Martin","Head Coach","White",2013,2021,9
"315","North Carolina","Carl Torbush","Head Coach","White",2000,2000,1
"316","North Carolina","John Bunting","Head Coach","White",2001,2006,6
"317","North Carolina","Butch Davis","Head Coach","White",2007,2010,4
"318","North Carolina","Everett Withers","Head Coach","Black",2011,2011,1
"319","North Carolina","Larry Fedora","Head Coach","White",2012,2018,7
"320","North Carolina","Mack Brown","Head Coach","White",2019,2021,3
"321","North Texas","Darrell Dickey","Head Coach","White",2000,2006,7
"322","North Texas","Todd Dodge","Head Coach","White",2007,2010,4
"323","North Texas","Dan McCarney","Head Coach","White",2011,2015,5
"324","North Texas","Seth Littrell","Head Coach","White",2016,2021,6
"325","Northern Illinois","Joe Novak","Head Coach","White",2000,2007,8
"326","Northern Illinois","Jerry Kill","Head Coach","White",2008,2010,3
"327","Northern Illinois","Dave Doeren","Head Coach","White",2011,2012,2
"328","Northern Illinois","Rod Carey","Head Coach","White",2013,2018,6
"329","Northern Illinois","Thomas Hammock","Head Coach","Black",2019,2021,3
"330","Northwestern","Randy Walker","Head Coach","White",2000,2005,6
"331","Northwestern","Pat Fitzgerald","Head Coach","White",2006,2021,16
"332","Notre Dame","Bob Davie","Head Coach","White",2000,2001,2
"333","Notre Dame","Tyrone Willingham","Head Coach","Black",2002,2004,3
