"","College","Coach","Role","Race","year_start","year_end"
"316","North Carolina","John Bunting","Head Coach","White",2001,2006
"317","North Carolina","Butch Davis","Head Coach","White",2007,2010
"318","North Carolina","Everett Withers","Head Coach","Black",2011,2011
"319","North Carolina","Larry Fedora","Head Coach","White",2012,2018
"320","North Carolina","Mack Brown","Head Coach","White",2019,2021
"321","North Texas","Darrell Dickey","Head Coach/Offensive Coordinator","White",2000,2006
"322","North Texas","Todd Dodge","Head Coach","White",2007,2010
"323","North Texas","Dan McCarney","Head Coach","White",2011,2015
"324","North Texas","Seth Littrell","Head Coach","White",2016,2021
"325","Northern Illinois","Joe Novak","Head Coach","White",2000,2007
"326","Northern Illinois","Jerry Kill","Head Coach","White",2008,2010
"327","Northern Illinois","Dave Doeren","Head Coach","White",2011,2012
"328","Northern Illinois","Rod Carey","Head Coach","White",2013,2018
"329","Northern Illinois","Thomas Hammock","Head Coach","Black",2019,2021
"330","Northwestern","Randy Walker","Head Coach","White",2000,2005
"331","Northwestern","Pat Fitzgerald","Head Coach","White",2006,2021
"332","Notre Dame","Bob Davie","Head Coach","White",2000,2001
"333","Notre Dame","Tyrone Willingham","Head Coach","Black",2002,2004
"334","Notre Dame","Charlie Weis","Head Coach","White",2005,2009
"335","Notre Dame","Brian Kelly","Head Coach","White",2010,2021
"336","Ohio","Jim Grobe","Head Coach","White",2000,2000
"337","Ohio","Brian Knorr","Head Coach","White",2001,2004
"338","Ohio","Frank Solich","Head Coach","White",2005,2020
"339","Ohio","Tim Albin","Head Coach","White",2021,2021
"340","Ohio State","John Cooper","Head Coach","White",2000,2000
"341","Ohio State","Jim Tressel","Head Coach","White",2001,2010
"342","Ohio State","Luke Fickell","Head Coach","White",2011,2011
"343","Ohio State","Urban Meyer","Head Coach","White",2012,2018
"344","Ohio State","Ryan Day","Head Coach","White",2019,2021
"345","Oklahoma","Bob Stoops","Head Coach","White",2000,2016
"346","Oklahoma","Lincoln Riley","Head Coach/Quarterbacks Coach","White",2017,2021
"347","Oklahoma State","Bob Simmons","Head Coach","Black",2000,2000
"348","Oklahoma State","Les Miles","Head Coach","White",2001,2004
"349","Oklahoma State","Mike Gundy","Head Coach","White",2005,2021
"350","Old Dominion","Bobby Wilder","Head Coach","White",2014,2019
"351","Old Dominion","Ricky Rahne","Head Coach","White",2020,2021
"352","Ole Miss","David Cutcliffe","Head Coach","White",2000,2004
"353","Ole Miss","Ed Orgeron","Head Coach/Defensive Coordinator","White",2005,2007
"354","Ole Miss","Houston Nutt","Head Coach","White",2008,2011
"355","Ole Miss","Hugh Freeze","Head Coach","White",2012,2016
"356","Ole Miss","Matt Luke","Head Coach","White",2017,2019
"357","Ole Miss","Lane Kiffin","Head Coach","White",2020,2021
"358","Oregon","Mike Bellotti","Head Coach","White",2000,2008
"359","Oregon","Chip Kelly","Head Coach","White",2009,2012
"360","Oregon","Mark Helfrich","Head Coach","White",2013,2016
"361","Oregon","Willie Taggart","Head Coach","Black",2017,2017
"362","Oregon","Mario Cristobal","Head Coach","Other",2018,2021
"363","Oregon State","Dennis Erickson","Head Coach","White",2000,2002
"364","Oregon State","Mike Riley","Head Coach","White",2003,2014
"365","Oregon State","Gary Andersen","Head Coach","White",2015,2017
"366","Oregon State","Jonathan Smith","Head Coach","White",2018,2021
"367","Penn State","Joe Paterno","Head Coach","White",2000,2011
"368","Penn State","Bill O'Brien","Head Coach/Offensive Coordinator","White",2012,2013
"369","Penn State","James Franklin","Head Coach","Black",2014,2021
"370","Pittsburgh","Walt Harris","Head Coach","White",2000,2004
"371","Pittsburgh","Dave Wannstedt","Head Coach","White",2005,2010
"372","Pittsburgh","Todd Graham","Head Coach","White",2011,2011
"373","Pittsburgh","Paul Chryst","Head Coach","White",2012,2014
"374","Pittsburgh","Pat Narduzzi","Head Coach","White",2015,2021
"375","Purdue","Joe Tiller","Head Coach","White",2000,2008
"376","Purdue","Danny Hope","Head Coach","White",2009,2012
"377","Purdue","Darrell Hazell","Head Coach","Black",2013,2016
"378","Purdue","Jeff Brohm","Head Coach","White",2017,2021
"379","Rice","Ken Hatfield","Head Coach","White",2000,2005
"380","Rice","Todd Graham","Head Coach","White",2006,2006
"381","Rice","David Bailiff","Head Coach","White",2007,2017
"382","Rice","Mike Bloomgren","Head Coach","White",2018,2021
"383","Rutgers","Terry Shea","Head Coach","White",2000,2000
"384","Rutgers","Greg Schiano","Head Coach","White",2001,2021
"385","Rutgers","Kyle Flood","Head Coach","White",2012,2015
"386","Rutgers","Chris Ash","Head Coach","White",2016,2019
