"","College","Season","Coach","username","Coach.1","Role","Race"
"155","Arkansas State",2014,"Blake Anderson","blake-anderson","Blake Anderson","Head Coach","White"
"156","Arkansas State",2015,"Blake Anderson","blake-anderson","Blake Anderson","Head Coach","White"
"157","Arkansas State",2016,"Blake Anderson","blake-anderson","Blake Anderson","Head Coach","White"
"158","Arkansas State",2017,"Blake Anderson","blake-anderson","Blake Anderson","Head Coach","White"
"159","Arkansas State",2018,"Blake Anderson","blake-anderson","Blake Anderson","Head Coach","White"
"160","Arkansas State",2019,"Blake Anderson","blake-anderson","Blake Anderson","Head Coach","White"
"161","Arkansas State",2020,"Blake Anderson","blake-anderson","Blake Anderson","Head Coach","White"
"162","Arkansas State",2021,"Butch Jones","butch-jones","Butch Jones","Head Coach","White"
"163","Army",2000,"Todd Berry","todd-berry","Todd Berry","Head Coach","White"
"164","Army",2001,"Todd Berry","todd-berry","Todd Berry","Head Coach","White"
"165","Army",2002,"Todd Berry","todd-berry","Todd Berry","Head Coach","White"
"166","Army",2003,"Todd Berry","todd-berry","Todd Berry","Head Coach","White"
"167","Army",2004,"Bobby Ross","bobby-ross","Bobby Ross","Head Coach","White"
"168","Army",2005,"Bobby Ross","bobby-ross","Bobby Ross","Head Coach","White"
"169","Army",2006,"Bobby Ross","bobby-ross","Bobby Ross","Head Coach","White"
"170","Army",2007,"Stan Brock","stan-brock","Stan Brock","Head Coach","White"
"171","Army",2008,"Stan Brock","stan-brock","Stan Brock","Head Coach","White"
"172","Army",2009,"Rich Ellerson","rich-ellerson","Rich Ellerson","Head Coach","White"
"173","Army",2010,"Rich Ellerson","rich-ellerson","Rich Ellerson","Head Coach","White"
"174","Army",2011,"Rich Ellerson","rich-ellerson","Rich Ellerson","Head Coach","White"
"175","Army",2012,"Rich Ellerson","rich-ellerson","Rich Ellerson","Head Coach","White"
"176","Army",2013,"Rich Ellerson","rich-ellerson","Rich Ellerson","Head Coach","White"
"177","Army",2014,"Jeff Monken","jeff-monken","Jeff Monken","Head Coach","White"
"178","Army",2015,"Jeff Monken","jeff-monken","Jeff Monken","Head Coach","White"
"179","Army",2016,"Jeff Monken","jeff-monken","Jeff Monken","Head Coach","White"
"180","Army",2017,"Jeff Monken","jeff-monken","Jeff Monken","Head Coach","White"
"181","Army",2018,"Jeff Monken","jeff-monken","Jeff Monken","Head Coach","White"
"182","Army",2019,"Jeff Monken","jeff-monken","Jeff Monken","Head Coach","White"
"183","Army",2020,"Jeff Monken","jeff-monken","Jeff Monken","Head Coach","White"
"184","Army",2021,"Jeff Monken","jeff-monken","Jeff Monken","Head Coach","White"
"185","Auburn",2000,"Tommy Tuberville","tommy-tuberville","Tommy Tuberville","Head Coach","White"
"186","Auburn",2001,"Tommy Tuberville","tommy-tuberville","Tommy Tuberville","Head Coach","White"
"187","Auburn",2002,"Tommy Tuberville","tommy-tuberville","Tommy Tuberville","Head Coach","White"
"188","Auburn",2003,"Tommy Tuberville","tommy-tuberville","Tommy Tuberville","Head Coach","White"
"189","Auburn",2004,"Tommy Tuberville","tommy-tuberville","Tommy Tuberville","Head Coach","White"
"190","Auburn",2005,"Tommy Tuberville","tommy-tuberville","Tommy Tuberville","Head Coach","White"
"191","Auburn",2006,"Tommy Tuberville","tommy-tuberville","Tommy Tuberville","Head Coach","White"
"192","Auburn",2007,"Tommy Tuberville","tommy-tuberville","Tommy Tuberville","Head Coach","White"
"193","Auburn",2008,"Tommy Tuberville","tommy-tuberville","Tommy Tuberville","Head Coach","White"
"194","Auburn",2009,"Gene Chizik","gene-chizik","Gene Chizik","Head Coach","White"
"195","Auburn",2010,"Gene Chizik","gene-chizik","Gene Chizik","Head Coach","White"
"196","Auburn",2011,"Gene Chizik","gene-chizik","Gene Chizik","Head Coach","White"
"197","Auburn",2012,"Gene Chizik","gene-chizik","Gene Chizik","Head Coach","White"
"198","Auburn",2013,"Gus Malzahn","gus-malzahn","Gus Malzahn","Head Coach","White"
"199","Auburn",2014,"Gus Malzahn","gus-malzahn","Gus Malzahn","Head Coach","White"
"200","Auburn",2015,"Gus Malzahn","gus-malzahn","Gus Malzahn","Head Coach","White"
"201","Auburn",2016,"Gus Malzahn","gus-malzahn","Gus Malzahn","Head Coach","White"
"202","Auburn",2017,"Gus Malzahn","gus-malzahn","Gus Malzahn","Head Coach","White"
"203","Auburn",2018,"Gus Malzahn","gus-malzahn","Gus Malzahn","Head Coach","White"
"204","Auburn",2019,"Gus Malzahn","gus-malzahn","Gus Malzahn","Head Coach","White"
"205","Auburn",2020,"Gus Malzahn","gus-malzahn","Gus Malzahn","Head Coach","White"
"206","Auburn",2021,"Bryan Harsin","bryan-harsin","Bryan Harsin","Head Coach","White"
"207","Ball State",2000,"Bill Lynch","bill-lynch","Bill Lynch","Head Coach","White"
"208","Ball State",2001,"Bill Lynch","bill-lynch","Bill Lynch","Head Coach","White"
"209","Ball State",2002,"Bill Lynch","bill-lynch","Bill Lynch","Head Coach","White"
