"","College","Season","Coach","username","Coach.1","Role","Race"
"171","Army",2006,"John Mumford","john-mumford","John Mumford","Defensive Coordinator/Defensive Line Coach","White"
"172","Army",2007,"John Mumford","john-mumford","John Mumford","Defensive Coordinator/Defensive Line Coach","White"
"173","Army",2008,"John Mumford","john-mumford","John Mumford","Defensive Coordinator/Defensive Line Coach","White"
"174","Army",2009,"Chris Smeland","chris-smeland","Chris Smeland","Defensive Coordinator/Safeties Coach","White"
"175","Army",2009,"Payam Saadat","payam-saadat","Payam Saadat","Defensive Coordinator/Linebackers Coach","White"
"176","Army",2010,"Chris Smeland","chris-smeland","Chris Smeland","Defensive Coordinator/Safeties Coach","White"
"177","Army",2010,"Payam Saadat","payam-saadat","Payam Saadat","Defensive Coordinator/Linebackers Coach","White"
"178","Army",2011,"Chris Smeland","chris-smeland","Chris Smeland","Defensive Coordinator/Safeties Coach","White"
"179","Army",2011,"Payam Saadat","payam-saadat","Payam Saadat","Defensive Coordinator/Linebackers Coach","White"
"180","Army",2012,"Chris Smeland","chris-smeland","Chris Smeland","Defensive Coordinator/Safeties Coach","White"
"181","Army",2012,"Payam Saadat","payam-saadat","Payam Saadat","Defensive Coordinator/Linebackers Coach","White"
"182","Army",2013,"Chris Smeland","chris-smeland","Chris Smeland","Defensive Coordinator/Safeties Coach","White"
"183","Army",2013,"Payam Saadat","payam-saadat","Payam Saadat","Defensive Coordinator","White"
"184","Army",2014,"Jay Bateman","jay-bateman","Jay Bateman","Defensive Coordinator","White"
"185","Army",2015,"Jay Bateman","jay-bateman","Jay Bateman","Defensive Coordinator","White"
"186","Army",2016,"Jay Bateman","jay-bateman","Jay Bateman","Defensive Coordinator","White"
"187","Army",2017,"Jay Bateman","jay-bateman","Jay Bateman","Defensive Coordinator","White"
"188","Army",2018,"Jay Bateman","jay-bateman","Jay Bateman","Defensive Coordinator","White"
"189","Army",2019,"John Loose","john-loose","John Loose","Defensive Coordinator","White"
"190","Army",2020,"Greg Gasparato","greg-gasparato","Greg Gasparato","Defensive Coordinator/Safeties Coach","White"
"191","Army",2020,"Nate Woody","nate-woody","Nate Woody","Defensive Coordinator","White"
"192","Army",2021,"Nate Woody","nate-woody","Nate Woody","Defensive Coordinator","White"
"193","Army",2021,"Shiel Wood","shiel-wood","Shiel Wood","Safeties Coach/Defensive Coordinator","White"
"194","Auburn",2000,"John Lovett","john-lovett","John Lovett","Defensive Coordinator/Defensive Backs Coach","White"
"195","Auburn",2001,"John Lovett","john-lovett","John Lovett","Defensive Coordinator/Defensive Backs Coach","White"
"196","Auburn",2002,"Gene Chizik","gene-chizik","Gene Chizik","Defensive Coordinator/Defensive Backs Coach","White"
"197","Auburn",2003,"Gene Chizik","gene-chizik","Gene Chizik","Defensive Coordinator/Defensive Backs Coach","White"
"198","Auburn",2004,"Gene Chizik","gene-chizik","Gene Chizik","Defensive Coordinator/Defensive Backs Coach","White"
"199","Auburn",2005,"David Gibbs","david-gibbs","David Gibbs","Defensive Coordinator","White"
"200","Auburn",2006,"Will Muschamp","will-muschamp","Will Muschamp","Defensive Coordinator/Defensive Backs Coach","White"
"201","Auburn",2007,"Will Muschamp","will-muschamp","Will Muschamp","Defensive Coordinator/Defensive Backs Coach","White"
"202","Auburn",2008,"Paul Rhoads","paul-rhoads","Paul Rhoads","Defensive Coordinator/Defensive Backs Coach","White"
"203","Auburn",2009,"Ted Roof","ted-roof","Ted Roof","Defensive Coordinator/Linebackers Coach","White"
