"","College","Coach","Role","Race","year_start","year_end"
"238","East Carolina","Donnie Kirkpatrick","Offensive Coordinator/Quarterbacks Coach","White",2019,2021
"239","Eastern Michigan","Pete Alamar","Offensive Coordinator/Offensive Line Coach","White",2000,2002
"240","Eastern Michigan","Tim Salem","Offensive Coordinator/Quarterbacks Coach/Kickers Coach","White",2003,2003
"241","Eastern Michigan","Howard Feggins","Offensive Coordinator/Wide Receivers Coach","Black",2004,2006
"242","Eastern Michigan","Scott Isphording","Offensive Coordinator/Quarterbacks Coach","White",2007,2008
"243","Eastern Michigan","Ken Karcher","Offensive Coordinator/Quarterbacks Coach","White",2009,2012
"244","Eastern Michigan","Stan Parrish","Offensive Coordinator/Quarterbacks Coach","White",2013,2013
"245","Eastern Michigan","Kalen DeBoer","Offensive Coordinator/Quarterbacks Coach","White",2014,2016
"246","Eastern Michigan","Aaron Keen","Offensive Coordinator/Quarterbacks Coach","White",2017,2019
"247","Florida Atlantic","Gary Nord","Offensive Coordinator/Quarterbacks Coach","White",2005,2008
"248","Florida Atlantic","Darryl Jackson","Offensive Coordinator/Wide Receivers Coach","Black",2009,2011
"249","Florida Atlantic","Brian Wright","Offensive Coordinator/Quarterbacks Coach","White",2012,2015
"250","Florida Atlantic","Travis Trickett","Offensive Coordinator/Quarterbacks Coach","White",2016,2016
"251","Florida Atlantic","Kendal Briles","Offensive Coordinator/Quarterbacks Coach","White",2017,2017
"252","Florida Atlantic","Charlie Weis Jr.","Offensive Coordinator/Quarterbacks Coach","White",2018,2019
"253","Florida Atlantic","Clint Trickett","Offensive Coordinator/Quarterbacks Coach","White",2020,2020
"254","Florida Atlantic","Drew Mehringer","Offensive Coordinator/Wide Receivers Coach","White",2020,2020
"255","Florida International","Greg Briner","Offensive Coordinator/Wide Receivers Coach","White",2005,2006
"256","Florida International","James Coley","Offensive Coordinator/Quarterbacks Coach","White",2007,2007
"257","Florida International","Bill Legg","Offensive Coordinator/Quarterbacks Coach","White",2008,2009
"258","Florida International","Scott Satterfield","Offensive Coordinator/Quarterbacks Coach","White",2010,2011
"259","Florida International","Tim Cramsey","Offensive Coordinator/Quarterbacks Coach","White",2012,2012
"260","Florida International","Steve Shankweiler","Offensive Coordinator/Offensive Line Coach","White",2014,2016
"261","Florida International","Rich Skrosky","Offensive Coordinator/Quarterbacks Coach","White",2017,2020
"262","Florida","Buddy Teevens","Tight Ends Coach/Assistant Offensive Coordinator","White",2001,2001
"263","Florida","Ed Zaunbrecher","Offensive Coordinator/Quarterbacks Coach","White",2002,2003
"264","Florida","Larry Fedora","Offensive Coordinator/Wide Receivers Coach","White",2004,2004
"265","Florida","Dan Mullen","Offensive Coordinator/Quarterbacks Coach","White",2005,2008
"266","Florida","Steve Addazio","Offensive Coordinator/Offensive Line Coach","White",2009,2010
"267","Florida","Charlie Weis","Offensive Coordinator/Quarterbacks Coach","White",2011,2011
"268","Florida","Brent Pease","Offensive Coordinator/Quarterbacks Coach","White",2012,2013
