"","variable","betweenness","closeness","degree","eigen","Race","Race == ..."
"717","Rick Kravitz",0,4.88679733962753e-07,1,6.65446386005992e-06,"White",TRUE
"718","Tim Walton",0,4.88679733962753e-07,2,5.9108319190099e-05,"Black",TRUE
"719","Kenny Ingram",0,4.88679733962753e-07,1,6.65446386005945e-06,"Black",TRUE
"720","Galen Scott",0,4.88679733962753e-07,1,2.24206511969313e-05,"Black",TRUE
"721","Ephraim Banda",0,4.88679733962753e-07,2,0.000113923821013498,"White",TRUE
"722","Jon Wauford",0,4.88679733962753e-07,1,1.93740455447354e-05,"White",TRUE
"723","Taver Johnson",0,4.88679733962753e-07,2,2.25344562404333e-05,"Black",TRUE
"724","Carl Reese",0,4.88679733962753e-07,2,0.000615718104130787,"White",TRUE
"725","Matt Pawlowski",0,4.88679733962753e-07,1,8.85493029336227e-06,"White",TRUE
"726","John Hauser",0,4.88679733962753e-07,1,1.32823954400537e-05,"White",TRUE
"727","Spence Nowinsky",0,4.88679733962753e-07,1,8.8549302933588e-06,"White",TRUE
"728","Jim Herrmann",0,4.88679733962753e-07,1,1.45805661407179e-05,"White",TRUE
"729","Mike Macdonald",0,4.88679733962753e-07,1,2.90824037890488e-05,"White",TRUE
"730","Miles Aldridge",0,4.88679733962753e-07,1,1.85801867767961e-05,"White",TRUE
"731","Steve Davis",0,4.88679733962753e-07,1,5.57405603304249e-05,"White",TRUE
"732","Randall McCray",0,4.88679733962753e-07,1,3.35227261002865e-05,"White",TRUE
"733","Steve Ellis",0,4.88679733962753e-07,1,0.000134090904401197,"Black",TRUE
"734","Tyrone Nix",0,4.88679733962753e-07,5,0.000224056443312603,"Black",TRUE
"735","Moe Ankney",0,4.88679733962753e-07,2,8.83415416494057e-06,"White",TRUE
"736","David Lockwood",0,4.88679733962753e-07,1,8.21722033652726e-06,"Black",TRUE
"737","Ronnie Lee",0,4.88679733962753e-07,2,1.42184330409305e-05,"Black",TRUE
"738","Jay Sawvel",0,4.88679733962753e-07,3,0.0133152501013978,"White",TRUE
"739","Joe Rossi",0,4.88679733962753e-07,2,5.70994927732752e-05,"White",TRUE
"740","Joe Harasymiak",0,4.88679733962753e-07,1,1.75280354209956e-05,"White",TRUE
